#Output File:20260102_2230 
#Model(lorentzian, prefix='g_')
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,14165.7704,6.9851,5.8638e+05,1.5565e+03,9.9424e+01,9.9042e+05,1.3605e+03,1.1748e+02,5.1e+04,2.2e+02,1.7e+07,5.2e+04,3.6e+03,3.6e+03,,2.5298e+05,1.6000e+03,3.5000e+01,7.3877e+05,1.3300e+03,8.7500e+01,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,74.5048,0.0334,4.3569e+04,1.5944e+03,4.1573e+01,1.1737e+05,1.3308e+03,8.3389e+01,5.0e+02,2.2e+01,1.7e+05,5.1e+02,2.1e+03,2.1e+03,,4.0882e+04,1.6000e+03,3.5000e+01,1.2994e+05,1.3300e+03,8.7500e+01,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,125.4798,0.0299,1.1010e+05,1.5972e+03,3.0349e+01,3.0444e+05,1.3256e+03,6.3774e+01,2.5e+03,4.9e+01,8.3e+05,2.6e+03,2.6e+03,2.6e+03,,1.3279e+05,1.6000e+03,3.5000e+01,4.2560e+05,1.3300e+03,8.7500e+01,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,80.4718,0.0527,3.1593e+04,1.5856e+03,4.9262e+01,9.7965e+04,1.3393e+03,1.1220e+02,3.9e+02,1.9e+01,1.3e+05,4.0e+02,2.0e+03,2.0e+03,,2.6259e+04,1.6000e+03,3.5000e+01,7.5716e+04,1.3300e+03,8.7500e+01,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,568.1127,0.5554,0.0000e+00,1.6000e+03,3.5000e+01,1.5952e+05,1.3300e+03,8.7500e+01,2.4e+04,1.5e+02,7.8e+06,2.4e+04,3.3e+03,3.4e+03,,-3.3746e+03,1.6000e+03,3.5000e+01,1.5952e+05,1.3300e+03,8.7500e+01,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,118.4960,0.0698,1.2681e+04,1.5952e+03,3.6353e+01,3.2757e+04,1.3322e+03,7.3672e+01,2.8e+02,1.6e+01,9.3e+04,2.9e+02,1.9e+03,1.9e+03,,1.2992e+04,1.6000e+03,3.5000e+01,3.9759e+04,1.3300e+03,8.7500e+01,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,188.7225,0.0842,7.9417e+04,1.5866e+03,3.7043e+01,1.7175e+05,1.3252e+03,6.3518e+01,1.4e+03,3.7e+01,4.6e+05,1.4e+03,2.4e+03,2.4e+03,,7.5197e+04,1.6000e+03,3.5000e+01,2.5630e+05,1.3300e+03,8.7500e+01,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,1225.2112,3.4067,1.2251e+05,1.5617e+03,6.8100e+01,2.4786e+05,1.3618e+03,8.8096e+01,3.6e+04,1.8e+02,1.2e+07,3.7e+04,3.5e+03,3.5e+03,,6.6721e+04,1.6000e+03,3.5000e+01,2.0469e+05,1.3300e+03,8.7500e+01,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,12084.7622,1.8754,3.4330e+05,1.5835e+03,4.7682e+01,2.2578e+06,1.2702e+03,2.5038e+02,9.6e+04,3.1e+02,3.2e+07,9.8e+04,3.8e+03,3.8e+03,,3.3902e+05,1.6000e+03,3.5000e+01,7.7408e+05,1.3300e+03,8.7500e+01,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,10438.1243,-0.5783,1.0322e+06,1.5746e+03,5.1949e+01,3.3342e+06,1.3506e+03,1.3622e+02,1.7e+05,3.9e+02,5.7e+07,1.8e+05,4.0e+03,4.0e+03,,8.1391e+05,1.6000e+03,3.5000e+01,2.0819e+06,1.3300e+03,8.7500e+01,
