#Output File:20260102_2232 
#Model(lorentzian, prefix='g_')
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,13150.6864,7.9909,3.1182e+05,1.5465e+03,7.3397e+01,9.2675e+05,1.3636e+03,1.1675e+02,7.0e+04,2.6e+02,1.6e+07,7.2e+04,2.5e+03,2.6e+03,,1.8772e+05,1.6000e+03,3.5000e+01,6.4978e+05,1.3300e+03,8.7500e+01,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,107.0119,0.0292,3.8569e+04,1.5944e+03,3.8553e+01,1.0167e+05,1.3314e+03,7.5285e+01,7.2e+02,2.6e+01,1.6e+05,7.4e+02,1.5e+03,1.5e+03,,3.8042e+04,1.6000e+03,3.5000e+01,1.2253e+05,1.3300e+03,8.7500e+01,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,179.7688,0.0199,1.0326e+05,1.5973e+03,2.9013e+01,2.8369e+05,1.3257e+03,6.0385e+01,3.4e+03,5.8e+01,7.7e+05,3.5e+03,1.9e+03,1.9e+03,,1.2859e+05,1.6000e+03,3.5000e+01,4.1435e+05,1.3300e+03,8.7500e+01,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,85.3992,0.0630,2.7208e+04,1.5848e+03,4.5640e+01,8.6945e+04,1.3401e+03,1.0600e+02,5.5e+02,2.3e+01,1.2e+05,5.6e+02,1.4e+03,1.5e+03,,2.3913e+04,1.6000e+03,3.5000e+01,7.0609e+04,1.3300e+03,8.7500e+01,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,823.1497,0.3781,0.0000e+00,1.6000e+03,3.5000e+01,1.5427e+05,1.3300e+03,8.7500e+01,2.8e+04,1.7e+02,6.4e+06,2.9e+04,2.3e+03,2.3e+03,,-2.4576e+02,1.6000e+03,3.5000e+01,1.5427e+05,1.3300e+03,8.7500e+01,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,94.5018,0.0676,1.8287e+04,1.5967e+03,4.7129e+01,5.1008e+04,1.3303e+03,1.0310e+02,2.3e+02,1.5e+01,5.3e+04,2.4e+02,1.2e+03,1.3e+03,,1.6010e+04,1.6000e+03,3.5000e+01,4.7146e+04,1.3300e+03,8.7500e+01,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,279.8918,0.0584,6.9147e+04,1.5866e+03,3.3508e+01,1.4166e+05,1.3257e+03,5.3673e+01,1.7e+03,4.1e+01,3.9e+05,1.8e+03,1.7e+03,1.7e+03,,6.9719e+04,1.6000e+03,3.5000e+01,2.4070e+05,1.3300e+03,8.7500e+01,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,38.8580,4.1731,5.2740e+04,1.5631e+03,4.0336e+01,4.5786e+05,1.3474e+03,1.3964e+02,9.3e+03,9.4e+01,2.1e+06,9.6e+03,2.1e+03,2.1e+03,,6.2383e+04,1.6000e+03,3.5000e+01,2.5036e+05,1.3300e+03,8.7500e+01,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,15799.0348,0.2643,2.7130e+05,1.5798e+03,4.0799e+01,4.3231e+05,1.3246e+03,9.5173e+01,3.1e+04,1.7e+02,7.1e+06,3.2e+04,2.4e+03,2.4e+03,,2.1393e+05,1.6000e+03,3.5000e+01,3.4257e+05,1.3300e+03,8.7500e+01,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,12069.8402,-0.8793,8.7956e+05,1.5721e+03,4.8064e+01,2.3969e+06,1.3566e+03,1.1364e+02,3.2e+05,5.4e+02,7.2e+07,3.3e+05,2.9e+03,2.9e+03,,6.8742e+05,1.6000e+03,3.5000e+01,1.7435e+06,1.3300e+03,8.7500e+01,
selected_31624_20160825_184739_26.0_32.0.txt,NaN,NaN,350.2752,0.1505,1.3887e+05,1.5809e+03,3.7399e+01,3.0774e+05,1.3187e+03,5.8713e+01,5.0e+03,7.0e+01,1.1e+06,5.2e+03,1.9e+03,2.0e+03,,1.2543e+05,1.6000e+03,3.5000e+01,4.5190e+05,1.3300e+03,8.7500e+01,
selected_36980_20160825_113352_10.0_20.0.txt,NaN,NaN,672.5427,-0.3169,1.6652e+04,1.5861e+03,3.6333e+01,1.5327e+05,1.3089e+03,6.5913e+01,5.4e+02,2.3e+01,1.2e+05,5.6e+02,1.4e+03,1.5e+03,,1.9706e+04,1.6000e+03,3.5000e+01,1.8092e+05,1.3300e+03,8.7500e+01,
selected_36982_20160825_113352_10.0_22.0.txt,NaN,NaN,2503.4380,-1.1710,1.3888e+04,1.5859e+03,2.2641e+01,3.9734e+05,1.3038e+03,5.8516e+01,2.7e+03,5.1e+01,6.1e+05,2.8e+03,1.8e+03,1.8e+03,,2.6032e+04,1.6000e+03,3.5000e+01,4.8689e+05,1.3300e+03,8.7500e+01,
selected_3914_20160825_191905_20.0_42.0.txt,NaN,NaN,18749.8338,0.7607,1.9739e+05,1.5471e+03,6.1680e+01,8.0088e+05,1.3802e+03,1.4460e+02,3.6e+04,1.9e+02,8.2e+06,3.7e+04,2.4e+03,2.4e+03,,1.2713e+05,1.6000e+03,3.5000e+01,3.7702e+05,1.3300e+03,8.7500e+01,
selected_43052_20160825_180008_22.0_20.0.txt,NaN,NaN,6332.0838,0.1456,3.2624e+05,1.5716e+03,4.4776e+01,1.5774e+06,1.3557e+03,1.4229e+02,9.7e+04,3.0e+02,2.2e+07,1.0e+05,2.6e+03,2.6e+03,,3.1750e+05,1.6000e+03,3.5000e+01,9.0860e+05,1.3300e+03,8.7500e+01,
