#Output File:20260217_1725 
#Model(lorentzian, prefix='g_')
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0als_e6.txt,NaN,NaN,nan,nan,1.5622e+06,1.5589e+03,1.8692e+02,7.7662e+05,1.3464e+03,1.1182e+02,4.5e+04,2.1e+02,1.2e+07,4.6e+04,2.9e+03,2.9e+03,,3.3503e+05,1.6000e+03,3.5000e+01,8.4754e+05,1.3300e+03,8.7500e+01,
selected_10485_20160825_205359_4.0_13.0als_e6.txt,NaN,NaN,nan,nan,4.1329e+04,1.5948e+03,4.0263e+01,1.0978e+05,1.3306e+03,8.0258e+01,5.1e+02,2.2e+01,1.4e+05,5.3e+02,1.7e+03,1.7e+03,,3.9582e+04,1.6000e+03,3.5000e+01,1.2576e+05,1.3300e+03,8.7500e+01,
selected_1070_20160825_212530_48.0_14.0als_e6.txt,NaN,NaN,nan,nan,1.0484e+05,1.5975e+03,2.9289e+01,2.8517e+05,1.3255e+03,6.0783e+01,2.7e+03,5.1e+01,7.2e+05,2.7e+03,2.1e+03,2.2e+03,,1.2947e+05,1.6000e+03,3.5000e+01,4.1450e+05,1.3300e+03,8.7500e+01,
selected_10952_20160825_205359_24.0_40.0als_e6.txt,NaN,NaN,nan,nan,2.8786e+04,1.5855e+03,4.6875e+01,8.8845e+04,1.3394e+03,1.0725e+02,4.6e+02,2.1e+01,1.2e+05,4.7e+02,1.7e+03,1.7e+03,,2.4662e+04,1.6000e+03,3.5000e+01,7.1449e+04,1.3300e+03,8.7500e+01,
selected_12281_20160825_153727_36.0_5.0als_e6.txt,NaN,NaN,nan,nan,9.1349e-04,2.6255e+03,2.1961e+02,2.1228e+05,1.2770e+03,7.1815e+01,8.9e+02,2.9e+01,2.4e+05,9.1e+02,1.8e+03,1.9e+03,,3.0321e+03,1.6000e+03,3.5000e+01,1.6716e+05,1.3300e+03,8.7500e+01,
selected_151_20160825_212530_6.0_19.0als_e6.txt,NaN,NaN,nan,nan,1.7890e+04,1.5960e+03,4.7533e+01,4.2491e+04,1.3316e+03,8.9487e+01,2.4e+02,1.5e+01,6.5e+04,2.5e+02,1.5e+03,1.5e+03,,1.5160e+04,1.6000e+03,3.5000e+01,4.4261e+04,1.3300e+03,8.7500e+01,
selected_16909_20160825_222850_38.0_13.0als_e6.txt,NaN,NaN,nan,nan,7.4161e+04,1.5868e+03,3.5289e+01,1.5721e+05,1.3251e+03,5.9177e+01,1.4e+03,3.7e+01,3.8e+05,1.4e+03,2.0e+03,2.0e+03,,7.2463e+04,1.6000e+03,3.5000e+01,2.4808e+05,1.3300e+03,8.7500e+01,
selected_20031_20160825_030638_24.0_11.0als_e6.txt,NaN,NaN,nan,nan,6.7308e+05,1.5868e+03,2.0870e+02,4.0471e+05,1.3319e+03,1.2510e+02,1.4e+04,1.2e+02,3.7e+06,1.4e+04,2.6e+03,2.6e+03,,1.3806e+05,1.6000e+03,3.5000e+01,3.5730e+05,1.3300e+03,8.7500e+01,
selected_21248_20160825_203814_26.0_40.0als_e6.txt,NaN,NaN,nan,nan,2.6249e+05,1.5842e+03,4.0767e+01,2.5045e+06,1.2640e+03,3.1142e+02,5.1e+04,2.3e+02,1.4e+07,5.2e+04,2.9e+03,3.0e+03,,3.2507e+05,1.6000e+03,3.5000e+01,7.1544e+05,1.3300e+03,8.7500e+01,
selected_30881_20160825_120528_44.0_37.0als_e6.txt,NaN,NaN,nan,nan,9.5319e+05,1.5750e+03,5.0285e+01,3.0238e+06,1.3528e+03,1.3344e+02,1.3e+05,3.5e+02,3.6e+07,1.4e+05,3.2e+03,3.2e+03,,7.6590e+05,1.6000e+03,3.5000e+01,1.9278e+06,1.3300e+03,8.7500e+01,
