#Output File:20260102_2231 
#(Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,bk_slope,bk_intercept,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_bk_slope,init_bk_intercept,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,14444.9070,6.2619,1.5771e+06,1.5510e+03,1.8967e+02,9.8767e+05,1.3412e+03,1.3201e+02,6.2619e+00,1.4445e+04,3.5e+04,1.9e+02,9.4e+06,3.6e+04,2.8e+03,2.9e+03,,3.0389e+06,1.6000e+03,3.5000e+01,7.1887e+06,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,91.1953,0.0020,5.3422e+04,1.5948e+03,4.8909e+01,1.3266e+05,1.3306e+03,9.1626e+01,2.0274e-03,9.1195e+01,4.3e+02,2.1e+01,1.2e+05,4.4e+02,1.7e+03,1.7e+03,,5.4950e+04,1.6000e+03,3.5000e+01,1.6264e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,167.4853,-0.0309,1.2466e+05,1.5972e+03,3.3840e+01,3.2518e+05,1.3257e+03,6.7400e+01,-3.0851e-02,1.6749e+02,2.4e+03,4.9e+01,6.4e+05,2.4e+03,2.1e+03,2.1e+03,,1.5185e+05,1.6000e+03,3.5000e+01,4.7103e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,67.0385,0.0368,3.9002e+04,1.5894e+03,5.7641e+01,1.2894e+05,1.3383e+03,1.3686e+02,3.6821e-02,6.7039e+01,2.6e+02,1.6e+01,7.1e+04,2.7e+02,1.5e+03,1.6e+03,,4.4374e+04,1.6000e+03,3.5000e+01,1.1712e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,624.1638,0.4725,5.9860e-01,1.6089e+03,1.7137e-02,2.2949e+05,1.2770e+03,7.6439e+01,4.7254e-01,6.2416e+02,7.4e+02,2.7e+01,2.0e+05,7.7e+02,1.8e+03,1.8e+03,,1.5676e+05,1.6000e+03,3.5000e+01,5.1891e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,109.3043,0.0626,1.7634e+04,1.5962e+03,4.6835e+01,4.4694e+04,1.3312e+03,9.3489e+01,6.2619e-02,1.0930e+02,2.4e+02,1.5e+01,6.4e+04,2.5e+02,1.5e+03,1.5e+03,,3.8292e+04,1.6000e+03,3.5000e+01,9.7866e+04,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,260.4153,0.0354,8.3416e+04,1.5865e+03,3.8833e+01,1.6551e+05,1.3256e+03,6.1196e+01,3.5369e-02,2.6042e+02,1.5e+03,3.8e+01,3.9e+05,1.5e+03,2.0e+03,2.0e+03,,1.1076e+05,1.6000e+03,3.5000e+01,3.3900e+05,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,108.2207,3.9319,1.0275e+05,1.5771e+03,6.6677e+01,7.0214e+05,1.3485e+03,1.7991e+02,3.9319e+00,1.0822e+02,6.6e+03,8.1e+01,1.8e+06,6.8e+03,2.4e+03,2.4e+03,,8.0051e+05,1.6000e+03,3.5000e+01,1.7880e+06,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,12632.0541,1.4680,2.9871e+05,1.5852e+03,4.4199e+01,2.5613e+06,1.2849e+03,2.9628e+02,1.4680e+00,1.2632e+04,4.9e+04,2.2e+02,1.3e+07,5.1e+04,2.9e+03,3.0e+03,,1.9976e+06,1.6000e+03,3.5000e+01,4.7823e+06,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,10540.1517,-1.4298,1.1517e+06,1.5803e+03,5.8101e+01,4.5984e+06,1.3540e+03,1.7293e+02,-1.4298e+00,1.0540e+04,2.6e+04,1.6e+02,6.9e+06,2.6e+04,2.8e+03,2.8e+03,,1.8599e+06,1.6000e+03,3.5000e+01,4.7396e+06,1.3300e+03,8.7500e+01,0.0000e+00,0.0000e+00,
