#Output File:20260102_2231 
#Model(lorentzian, prefix='g_')
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,nan,nan,4.4158e+06,1.4406e+03,2.9500e+02,1.7574e+10,8.1613e+03,1.8158e+02,6.1e+04,2.5e+02,1.6e+07,6.2e+04,3.0e+03,3.0e+03,,3.0389e+06,1.6000e+03,3.5000e+01,7.1887e+06,1.3300e+03,8.7500e+01,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,nan,nan,6.7474e+04,1.6004e+03,5.8319e+01,2.2535e+05,1.3270e+03,1.4361e+02,1.4e+03,3.7e+01,3.9e+05,1.5e+03,2.0e+03,2.0e+03,,5.4950e+04,1.6000e+03,3.5000e+01,1.6264e+05,1.3300e+03,8.7500e+01,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,nan,nan,1.4859e+05,1.5976e+03,3.9125e+01,4.1188e+05,1.3244e+03,8.3155e+01,5.8e+03,7.2e+01,1.6e+06,6.0e+03,2.4e+03,2.4e+03,,1.5185e+05,1.6000e+03,3.5000e+01,4.7103e+05,1.3300e+03,8.7500e+01,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,nan,nan,2.1867e+04,1.6016e+03,4.1275e+01,3.5343e+05,1.3751e+03,2.9316e+02,8.1e+02,2.8e+01,2.2e+05,8.3e+02,1.8e+03,1.8e+03,,4.4374e+04,1.6000e+03,3.5000e+01,1.1712e+05,1.3300e+03,8.7500e+01,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,nan,nan,5.4827e+05,1.7676e+03,1.7497e+02,1.7901e+06,1.2634e+03,3.2435e+02,1.5e+04,1.2e+02,4.1e+06,1.6e+04,2.6e+03,2.6e+03,,1.5676e+05,1.6000e+03,3.5000e+01,5.1891e+05,1.3300e+03,8.7500e+01,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,nan,nan,5.1096e+03,1.6032e+03,1.9520e+01,5.1420e+05,1.4334e+03,5.4297e+02,7.3e+02,2.7e+01,2.0e+05,7.4e+02,1.8e+03,1.8e+03,,3.8292e+04,1.6000e+03,3.5000e+01,9.7866e+04,1.3300e+03,8.7500e+01,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,nan,nan,1.1216e+05,1.5952e+03,5.0010e+01,5.1213e+05,1.3241e+03,1.8354e+02,1.3e+04,1.1e+02,3.6e+06,1.4e+04,2.6e+03,2.6e+03,,1.1076e+05,1.6000e+03,3.5000e+01,3.3900e+05,1.3300e+03,8.7500e+01,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,nan,nan,5.3877e+05,1.8218e+03,1.2102e+02,1.4539e+07,1.5272e+03,6.6863e+02,1.4e+04,1.2e+02,3.8e+06,1.5e+04,2.6e+03,2.6e+03,,8.0051e+05,1.6000e+03,3.5000e+01,1.7880e+06,1.3300e+03,8.7500e+01,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,nan,nan,1.5821e+05,1.5862e+03,3.1150e+01,6.8340e+07,1.4013e+03,1.2624e+03,6.8e+04,2.6e+02,1.8e+07,7.0e+04,3.0e+03,3.0e+03,,1.9976e+06,1.6000e+03,3.5000e+01,4.7823e+06,1.3300e+03,8.7500e+01,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,nan,nan,4.9670e+05,1.5821e+03,3.7361e+01,2.4780e+07,1.3656e+03,4.8340e+02,4.6e+05,6.8e+02,1.2e+08,4.7e+05,3.5e+03,3.6e+03,,1.8599e+06,1.6000e+03,3.5000e+01,4.7396e+06,1.3300e+03,8.7500e+01,
selected_31624_20160825_184739_26.0_32.0.txt,NaN,NaN,nan,nan,2.9401e+05,1.5883e+03,6.8125e+01,7.0273e+05,1.3127e+03,1.2227e+02,3.3e+04,1.7e+02,8.9e+06,3.4e+04,2.8e+03,2.8e+03,,1.9040e+05,1.6000e+03,3.5000e+01,6.0324e+05,1.3300e+03,8.7500e+01,
selected_36980_20160825_113352_10.0_20.0.txt,NaN,NaN,nan,nan,1.4316e+04,1.5977e+03,2.9253e+01,4.4517e+05,1.2905e+03,1.7626e+02,7.6e+03,8.6e+01,2.0e+06,7.8e+03,2.4e+03,2.4e+03,,3.7932e+04,1.6000e+03,3.5000e+01,2.4985e+05,1.3300e+03,8.7500e+01,
