#Output File:20260102_2232 
#Model(lorentzian, prefix='g_')
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian       1600      35.0          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian       1330      87.5          0.25      NaN            NaN            NaN           NaN           NaN                 0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,12224.4062,8.8625,1.8703e+05,1.5365e+03,6.2353e+01,8.5033e+05,1.3625e+03,1.1664e+02,6.7e+04,2.5e+02,1.3e+07,6.9e+04,2.2e+03,2.2e+03,,1.3631e+05,1.6000e+03,3.5000e+01,5.8551e+05,1.3300e+03,8.7500e+01,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,44.3796,0.1024,2.7070e+04,1.5953e+03,3.0801e+01,8.5331e+04,1.3301e+03,6.7074e+01,7.9e+02,2.8e+01,1.5e+05,8.1e+02,1.3e+03,1.3e+03,,3.2064e+04,1.6000e+03,3.5000e+01,1.1298e+05,1.3300e+03,8.7500e+01,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,67.0881,0.1564,8.3068e+04,1.5976e+03,2.4831e+01,2.5299e+05,1.3252e+03,5.5400e+01,4.0e+03,6.2e+01,7.8e+05,4.1e+03,1.6e+03,1.7e+03,,1.1696e+05,1.6000e+03,3.5000e+01,3.9536e+05,1.3300e+03,8.7500e+01,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,46.4643,0.1165,1.8161e+04,1.5840e+03,3.7340e+01,6.9236e+04,1.3383e+03,9.4963e+01,6.6e+02,2.5e+01,1.3e+05,6.8e+02,1.3e+03,1.3e+03,,1.8784e+04,1.6000e+03,3.5000e+01,6.1731e+04,1.3300e+03,8.7500e+01,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,1001.5690,0.2724,0.0000e+00,1.6000e+03,3.5000e+01,1.4390e+05,1.3300e+03,8.7500e+01,3.0e+04,1.7e+02,5.9e+06,3.1e+04,2.0e+03,2.1e+03,,-1.2745e+03,1.6000e+03,3.5000e+01,1.4390e+05,1.3300e+03,8.7500e+01,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,77.5309,0.1110,7.6743e+03,1.5960e+03,2.6607e+01,2.7074e+04,1.3293e+03,6.6473e+01,2.4e+02,1.5e+01,4.6e+04,2.4e+02,1.1e+03,1.1e+03,,1.0249e+04,1.6000e+03,3.5000e+01,3.5940e+04,1.3300e+03,8.7500e+01,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,233.9984,0.1196,5.8180e+04,1.5868e+03,2.9824e+01,1.2711e+05,1.3253e+03,4.9202e+01,1.9e+03,4.4e+01,3.8e+05,2.0e+03,1.5e+03,1.5e+03,,6.3997e+04,1.6000e+03,3.5000e+01,2.3091e+05,1.3300e+03,8.7500e+01,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,200.2041,4.1455,3.7385e+04,1.5615e+03,3.3579e+01,3.7516e+05,1.3521e+03,1.3000e+02,9.0e+03,9.3e+01,1.8e+06,9.3e+03,1.8e+03,1.8e+03,,4.9502e+04,1.6000e+03,3.5000e+01,2.1612e+05,1.3300e+03,8.7500e+01,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,15837.9142,0.4276,2.1432e+05,1.5789e+03,3.6026e+01,2.9813e+05,1.3254e+03,7.8394e+01,3.9e+04,1.9e+02,7.7e+06,4.0e+04,2.1e+03,2.1e+03,,1.8094e+05,1.6000e+03,3.5000e+01,2.7212e+05,1.3300e+03,8.7500e+01,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,11200.7229,0.3732,6.6770e+05,1.5704e+03,4.2606e+01,1.9703e+06,1.3566e+03,1.0556e+02,3.6e+05,5.8e+02,7.1e+07,3.7e+05,2.5e+03,2.5e+03,,5.6272e+05,1.6000e+03,3.5000e+01,1.5241e+06,1.3300e+03,8.7500e+01,
selected_31624_20160825_184739_26.0_32.0.txt,NaN,NaN,316.1276,0.2483,1.1217e+05,1.5812e+03,3.2598e+01,2.6666e+05,1.3185e+03,5.2580e+01,6.4e+03,7.8e+01,1.3e+06,6.6e+03,1.7e+03,1.7e+03,,1.1198e+05,1.6000e+03,3.5000e+01,4.2549e+05,1.3300e+03,8.7500e+01,
selected_36980_20160825_113352_10.0_20.0.txt,NaN,NaN,770.9643,-0.3583,1.1264e+04,1.5873e+03,2.8811e+01,1.3053e+05,1.3095e+03,5.8245e+01,6.5e+02,2.5e+01,1.3e+05,6.7e+02,1.3e+03,1.3e+03,,1.6172e+04,1.6000e+03,3.5000e+01,1.6903e+05,1.3300e+03,8.7500e+01,
