#Output File:20260102_2222 
#(((Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_')) + Model(lorentzian, prefix='d2_')) + Model(gaussian, prefix='d3_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian     1580.0      35.0           0.6      NaN            NaN            NaN           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian     1330.0      87.5           0.9      NaN            NaN            NaN           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d2 Lorentzian     1620.0      35.0           0.6      NaN            NaN            NaN           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d3   Gaussian     1500.0      63.7           0.4      NaN            NaN            NaN           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d4 Lorentzian     1200.0     100.0           0.1      NaN            NaN            NaN           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,d2_amplitude,d2_center,d2_sigma,d3_amplitude,d3_center,d3_sigma,d4_amplitude,d4_center,d4_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_d2_amplitude,init_d2_center,init_d2_sigma,init_d3_amplitude,init_d3_center,init_d3_sigma,init_d4_amplitude,init_d4_center,init_d4_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,14065.8648,7.2877,46780.3698,1544.6399,18.7326,45989.8864,1277.2505,44.3608,193353.0727,1608.5053,48.0196,757635.2284,1390.0633,120.1433,10399.5108,1482.8881,7.2583,2.9e+04,1.7e+02,7.8e+06,3.1e+04,2.8e+03,2.9e+03,,118241.0093,1580.0000,35.0000,589970.6313,1330.0000,87.5000,117542.0448,1620.0000,35.0000,134607.0076,1500.0000,63.7000,23469.2724,1200.0000,100.0000,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,59.5948,0.0477,14015.7926,1594.6353,22.8172,103499.3480,1330.5443,71.5853,8003.9408,1618.3252,18.5184,19352.7325,1542.2205,64.6302,6466.3761,1185.9582,53.6458,2.2e+02,1.4e+01,5.8e+04,2.3e+02,1.5e+03,1.5e+03,,20035.6328,1580.0000,35.0000,115920.3491,1330.0000,87.5000,20404.7723,1620.0000,35.0000,11079.5902,1500.0000,63.7000,4471.5369,1200.0000,100.0000,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,121.4555,0.0415,39356.8527,1591.3484,18.7360,294550.8043,1325.0237,61.0460,32631.1839,1612.2826,16.5329,32958.5309,1543.9484,55.8199,28484.9117,-85.5095,0.0000,1.0e+03,3.1e+01,2.8e+05,1.1e+03,1.9e+03,2.0e+03,,59764.0969,1580.0000,35.0000,380209.6721,1330.0000,87.5000,60674.4305,1620.0000,35.0000,23964.1162,1500.0000,63.7000,10668.8054,1200.0000,100.0000,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,82.5624,0.0580,16109.6472,1568.4156,41.7373,15223.4152,1325.7637,58.4500,11992.1718,1610.2701,28.3411,60475.0039,1350.5890,128.3124,296.6934,1139.3842,2.0244,2.4e+02,1.5e+01,6.5e+04,2.6e+02,1.5e+03,1.6e+03,,14822.0671,1580.0000,35.0000,65892.7850,1330.0000,87.5000,12983.1612,1620.0000,35.0000,10282.9201,1500.0000,63.7000,3423.9393,1200.0000,100.0000,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,625.9754,0.4986,0.0000,1580.0000,35.0000,147955.3160,1330.0000,87.5000,0.0000,1620.0000,35.0000,1884.8831,1500.0000,63.7000,13370.7098,1200.0000,100.0000,2.6e+04,1.6e+02,7.1e+06,2.8e+04,2.8e+03,2.8e+03,,-10.9086,1580.0000,35.0000,147955.3160,1330.0000,87.5000,-151.7400,1620.0000,35.0000,1884.8831,1500.0000,63.7000,13370.7098,1200.0000,100.0000,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,110.2282,0.0758,981.8229,1574.0659,9.1847,31035.2583,1327.7965,68.3005,7026.1882,1605.4666,22.9311,5062.7238,1522.0738,70.4444,0.0000,1379.5019,315.0504,2.6e+02,1.6e+01,6.9e+04,2.7e+02,1.5e+03,1.6e+03,,6451.9196,1580.0000,35.0000,35856.7926,1330.0000,87.5000,6119.3702,1620.0000,35.0000,3330.6786,1500.0000,63.7000,1510.7460,1200.0000,100.0000,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,183.4483,0.1040,39477.2828,1582.8372,23.2869,132065.9782,1324.1879,47.8201,12103.1608,1610.2950,12.6820,27909.3631,1498.4873,74.8468,19826.9127,1183.8080,87.5534,3.5e+02,1.8e+01,9.4e+04,3.7e+02,1.6e+03,1.7e+03,,44027.4818,1580.0000,35.0000,225467.7299,1330.0000,87.5000,29635.4733,1620.0000,35.0000,16628.6991,1500.0000,63.7000,5632.5631,1200.0000,100.0000,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,538.6469,3.8237,23290.8305,1552.2903,25.6033,19165.1741,1237.9254,31.3586,67605.5625,1600.3495,51.4169,272385.8299,1367.1732,114.4842,8878.1106,1161.1811,23.7186,6.3e+03,7.8e+01,1.7e+06,6.7e+03,2.4e+03,2.4e+03,,44113.0244,1580.0000,35.0000,216744.8273,1330.0000,87.5000,33150.8592,1620.0000,35.0000,39510.1299,1500.0000,63.7000,14254.3476,1200.0000,100.0000,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,13580.5036,1.4800,228919.8188,1565.2841,36.4473,0.7699,1200.2632,79.2228,96346.0495,1611.1287,24.2121,542747.3474,1316.0315,113.6372,212087.2972,1062.9275,65.0677,2.4e+04,1.5e+02,6.4e+06,2.5e+04,2.8e+03,2.8e+03,,156907.6164,1580.0000,35.0000,456836.6463,1330.0000,87.5000,122495.8028,1620.0000,35.0000,73299.1874,1500.0000,63.7000,39075.4572,1200.0000,100.0000,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,10757.4669,-0.4471,605746.0355,1558.7977,44.1212,205220.1101,1097.0646,69.7086,399302.1138,1605.1382,33.1967,2088406.0791,1356.1661,120.2443,110268.8618,1220.3121,0.0000,3.1e+04,1.7e+02,8.4e+06,3.3e+04,2.8e+03,2.9e+03,,489610.7896,1580.0000,35.0000,1751443.6267,1330.0000,87.5000,364652.4512,1620.0000,35.0000,356644.6636,1500.0000,63.7000,101928.6382,1200.0000,100.0000,
selected_31624_20160825_184739_26.0_32.0.txt,NaN,NaN,271.9111,0.1779,67398.9969,1575.9650,26.8692,322521.2865,1317.5074,59.5373,30816.5740,1603.3303,17.0788,41699.8600,1521.1317,63.3601,0.1300,815.0573,749.3040,1.5e+03,3.9e+01,4.1e+05,1.6e+03,2.0e+03,2.1e+03,,81063.1966,1580.0000,35.0000,417059.8589,1330.0000,87.5000,49017.7954,1620.0000,35.0000,31459.9859,1500.0000,63.7000,11746.2648,1200.0000,100.0000,
selected_36980_20160825_113352_10.0_20.0.txt,NaN,NaN,510.0238,-0.2248,9980.2882,1567.2564,31.7693,87955.8527,1308.1734,48.8100,8990.0267,1604.9809,24.2105,71267.1948,1306.5208,124.3552,8225.9119,1082.1645,48.6331,3.2e+02,1.8e+01,8.6e+04,3.4e+02,1.6e+03,1.6e+03,,12245.9650,1580.0000,35.0000,172697.7195,1330.0000,87.5000,9476.6193,1620.0000,35.0000,9363.5213,1500.0000,63.7000,7898.4357,1200.0000,100.0000,
selected_36982_20160825_113352_10.0_22.0.txt,NaN,NaN,1847.2163,-0.7996,155.1501,1574.1041,2.0026,454534.7929,1304.1843,63.5424,834.1769,1609.3010,3.5801,16683.4210,1582.3073,32.5351,59586.8464,1116.7508,69.7851,2.1e+03,4.5e+01,5.7e+05,2.2e+03,2.1e+03,2.1e+03,,21972.7845,1580.0000,35.0000,478234.7531,1330.0000,87.5000,16296.5937,1620.0000,35.0000,16284.7619,1500.0000,63.7000,23654.5477,1200.0000,100.0000,
selected_3914_20160825_191905_20.0_42.0.txt,NaN,NaN,19075.1117,0.4425,33057.7840,1553.8985,18.9401,254056.7156,1259.1656,99.7550,20461.2734,1616.1104,15.3673,580968.2358,1460.4366,133.9740,12912.4883,1418.4783,9.7715,2.5e+04,1.6e+02,6.7e+06,2.6e+04,2.8e+03,2.8e+03,,100301.5235,1580.0000,35.0000,363659.0307,1330.0000,87.5000,89640.9518,1620.0000,35.0000,124995.9505,1500.0000,63.7000,22970.8358,1200.0000,100.0000,
