#Output File:20260102_2229 
#(((Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_')) + Model(lorentzian, prefix='d2_')) + Model(gaussian, prefix='d3_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian     1575.0      35.0           1.0      NaN         1570.0         1605.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian     1350.0      87.5           1.0      NaN         1300.0         1375.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d2 Lorentzian     1620.0      35.0           0.1      NaN         1600.0         1630.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d3   Gaussian     1500.0      63.7           0.1      NaN         1400.0         1550.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d4 Lorentzian     1200.0     100.0           0.1      NaN         1100.0         1300.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,d2_amplitude,d2_center,d2_sigma,d3_amplitude,d3_center,d3_sigma,d4_amplitude,d4_center,d4_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_d2_amplitude,init_d2_center,init_d2_sigma,init_d3_amplitude,init_d3_center,init_d3_sigma,init_d4_amplitude,init_d4_center,init_d4_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,14065.8648,7.2877,234197.6296,1579.7039,72.2845,59253.4069,1300.0000,41.2221,21364.5335,1612.8604,12.2414,742509.8833,1400.0000,124.2503,12544.5858,1232.0571,10.6601,3.1e+04,1.8e+02,8.5e+06,3.3e+04,2.8e+03,2.9e+03,,201653.7767,1575.0000,35.0000,732577.1788,1350.0000,87.5000,19590.3408,1620.0000,35.0000,33651.7519,1500.0000,63.7000,23469.2724,1200.0000,100.0000,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,59.5948,0.0477,14014.0286,1594.6313,22.8180,103498.4527,1330.5439,71.5847,8006.3348,1618.3209,18.5192,19352.7703,1542.2189,64.6343,6466.5309,1185.9577,53.6459,2.2e+02,1.4e+01,5.8e+04,2.3e+02,1.5e+03,1.5e+03,,30386.8499,1575.0000,35.0000,117894.7195,1350.0000,87.5000,3400.7954,1620.0000,35.0000,2769.8976,1500.0000,63.7000,4471.5369,1200.0000,100.0000,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,121.4555,0.0415,41870.8986,1591.1038,19.5218,281323.8929,1325.6734,57.7806,32713.4317,1612.1721,16.6265,33996.7146,1537.0542,59.5897,10270.9204,1186.7166,38.0562,7.6e+02,2.5e+01,2.1e+05,8.1e+02,1.8e+03,1.9e+03,,85440.7209,1575.0000,35.0000,358311.9008,1350.0000,87.5000,10112.4051,1620.0000,35.0000,5991.0290,1500.0000,63.7000,10668.8054,1200.0000,100.0000,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,82.5624,0.0580,12101.8598,1570.6861,34.0090,35221.4785,1318.7890,73.3443,11052.9426,1610.8540,26.3088,42283.3053,1400.0000,124.9716,6601.7237,1190.4545,63.8110,2.6e+02,1.6e+01,7.0e+04,2.7e+02,1.5e+03,1.6e+03,,23978.7503,1575.0000,35.0000,75010.8495,1350.0000,87.5000,2163.8602,1620.0000,35.0000,2570.7300,1500.0000,63.7000,3423.9393,1200.0000,100.0000,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,625.9754,0.4986,0.0000,1575.0000,35.0000,125792.9260,1350.0000,87.5000,0.0000,1620.0000,35.0000,471.2208,1500.0000,63.7000,13370.7098,1200.0000,100.0000,4.0e+04,1.9e+02,1.1e+07,4.2e+04,2.9e+03,2.9e+03,,-72.0192,1575.0000,35.0000,125792.9260,1350.0000,87.5000,-25.2900,1620.0000,35.0000,471.2208,1500.0000,63.7000,13370.7098,1200.0000,100.0000,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,110.2282,0.0758,1387.4046,1573.6697,12.1723,13369.4183,1342.7678,42.2664,7625.6196,1605.7751,24.1953,7623.2127,1478.8474,86.7673,12414.4493,1283.9947,56.5448,2.5e+02,1.5e+01,6.6e+04,2.6e+02,1.5e+03,1.6e+03,,10074.9758,1575.0000,35.0000,37713.0684,1350.0000,87.5000,1019.8950,1620.0000,35.0000,832.6697,1500.0000,63.7000,1510.7460,1200.0000,100.0000,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,183.4483,0.1040,39472.6782,1582.8351,23.2858,132063.8744,1324.1879,47.8195,12106.9718,1610.2931,12.6843,27910.6433,1498.4861,74.8498,19828.3614,1183.8120,87.5562,3.5e+02,1.8e+01,9.4e+04,3.7e+02,1.6e+03,1.7e+03,,67216.9245,1575.0000,35.0000,190738.6399,1350.0000,87.5000,4939.2456,1620.0000,35.0000,4157.1748,1500.0000,63.7000,5632.5631,1200.0000,100.0000,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,538.6469,3.8237,57693.4154,1582.7162,46.7140,44242.0248,1300.0000,60.0608,1947.8333,1610.3936,4.8320,255573.0278,1400.0000,126.3101,33876.2474,1223.1075,45.9138,7.6e+03,8.6e+01,2.1e+06,8.0e+03,2.4e+03,2.5e+03,,76435.3005,1575.0000,35.0000,279219.2800,1350.0000,87.5000,5525.1432,1620.0000,35.0000,9877.5325,1500.0000,63.7000,14254.3476,1200.0000,100.0000,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,13580.5036,1.4800,205258.6891,1570.0000,33.1563,450832.2420,1300.0000,97.1853,67627.6092,1613.2747,19.0968,174937.8504,1400.0000,104.9880,256427.2885,1100.0000,89.9298,3.5e+04,1.9e+02,9.6e+06,3.7e+04,2.9e+03,2.9e+03,,264324.1051,1575.0000,35.0000,556687.2449,1350.0000,87.5000,20415.9671,1620.0000,35.0000,18324.7969,1500.0000,63.7000,39075.4572,1200.0000,100.0000,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,10757.4669,-0.4471,587698.0007,1570.0000,39.9509,691763.6159,1315.8192,85.1286,191175.9189,1611.4809,23.6052,1589285.5889,1400.0000,125.5059,338312.1038,1154.4140,92.0266,4.7e+04,2.1e+02,1.3e+07,5.0e+04,2.9e+03,3.0e+03,,818650.8092,1575.0000,35.0000,2062629.0675,1350.0000,87.5000,60775.4085,1620.0000,35.0000,89161.1659,1500.0000,63.7000,101928.6382,1200.0000,100.0000,
selected_31624_20160825_184739_26.0_32.0.txt,NaN,NaN,271.9111,0.1779,55194.7048,1571.2150,25.5811,300280.0002,1317.7173,54.9063,46242.6313,1600.3682,20.1119,45871.8530,1507.4481,70.3787,16360.9961,1169.6667,50.5967,1.0e+03,3.1e+01,2.8e+05,1.1e+03,1.9e+03,2.0e+03,,129115.2428,1575.0000,35.0000,357809.1090,1350.0000,87.5000,8169.6326,1620.0000,35.0000,7864.9965,1500.0000,63.7000,11746.2648,1200.0000,100.0000,
selected_36980_20160825_113352_10.0_20.0.txt,NaN,NaN,510.0238,-0.2248,4730.3967,1575.8430,19.5408,180594.4258,1307.1307,75.2557,4572.4722,1606.5011,14.6204,6181.0140,1550.0000,55.6764,0.0000,1276.7077,36.1705,7.3e+02,2.7e+01,2.0e+05,7.7e+02,1.8e+03,1.9e+03,,20126.8168,1575.0000,35.0000,150510.5818,1350.0000,87.5000,1579.4366,1620.0000,35.0000,2340.8803,1500.0000,63.7000,7898.4357,1200.0000,100.0000,
selected_36982_20160825_113352_10.0_22.0.txt,NaN,NaN,1847.2163,-0.7996,7095.7846,1577.5584,12.7272,342111.2704,1300.0000,117.1249,3919.6586,1607.9393,8.5584,9853.6718,1541.9038,0.0173,197813.9597,1300.0000,44.0051,5.7e+03,7.5e+01,1.5e+06,6.1e+03,2.4e+03,2.4e+03,,36684.5173,1575.0000,35.0000,398451.9247,1350.0000,87.5000,2716.0990,1620.0000,35.0000,4071.1905,1500.0000,63.7000,23654.5477,1200.0000,100.0000,
selected_3914_20160825_191905_20.0_42.0.txt,NaN,NaN,19075.1117,0.4425,16531.0324,1570.0000,23.7903,181690.3664,1375.0000,72.6874,7711.9245,1616.4818,8.4103,435715.8036,1507.1029,108.8891,272695.7237,1259.0622,81.8945,2.7e+04,1.6e+02,7.4e+06,2.9e+04,2.8e+03,2.8e+03,,180416.2120,1575.0000,35.0000,490969.2646,1350.0000,87.5000,14940.1586,1620.0000,35.0000,31248.9876,1500.0000,63.7000,22970.8358,1200.0000,100.0000,
selected_43052_20160825_180008_22.0_20.0.txt,NaN,NaN,6043.1314,0.1023,195712.7623,1570.0000,37.2032,234883.1287,1300.0000,83.7233,98612.8494,1609.1250,27.2206,1073521.0945,1400.0000,137.8896,214704.7402,1153.7361,69.3733,1.3e+04,1.1e+02,3.4e+06,1.3e+04,2.6e+03,2.6e+03,,388180.7006,1575.0000,35.0000,1066761.4788,1350.0000,87.5000,28618.3988,1620.0000,35.0000,48927.8406,1500.0000,63.7000,67915.7624,1200.0000,100.0000,
selected_4424_20160825_191905_44.0_24.0.txt,NaN,NaN,30.4124,0.0093,10023.2892,1570.0000,36.2792,29626.0906,1323.4442,64.8369,8936.0346,1607.4454,24.2645,25174.4407,1400.0000,122.9182,8065.8110,1184.6200,84.0335,2.0e+02,1.4e+01,5.3e+04,2.1e+02,1.5e+03,1.5e+03,,18161.4269,1575.0000,35.0000,57704.5180,1350.0000,87.5000,1674.3425,1620.0000,35.0000,1674.3226,1500.0000,63.7000,2573.3141,1200.0000,100.0000,
selected_44428_20160825_095858_32.0_32.0.txt,NaN,NaN,225.5845,-0.0439,10137.7018,1570.0000,69.2501,3566.3373,1307.5318,22.7988,2513.1520,1604.0446,14.6594,9371.6760,1400.0046,86.9428,815.7361,1100.0000,21.0534,2.9e+02,1.7e+01,7.8e+04,3.1e+02,1.6e+03,1.6e+03,,7271.9353,1575.0000,35.0000,15479.7270,1350.0000,87.5000,726.6424,1620.0000,35.0000,872.5268,1500.0000,63.7000,10.3723,1200.0000,100.0000,
selected_4494_20160825_191905_48.0_6.0.txt,NaN,NaN,23821.8023,-4.0107,8212.0665,1570.0000,8.9593,1341.8964,1375.0000,3.5647,56502.4362,1630.0000,50.2793,402073.0011,1453.3417,130.1730,69780.1816,1257.8525,62.9983,1.7e+04,1.3e+02,4.7e+06,1.8e+04,2.7e+03,2.7e+03,,128978.7520,1575.0000,35.0000,287923.5038,1350.0000,87.5000,10560.6069,1620.0000,35.0000,20921.2557,1500.0000,63.7000,10575.8587,1200.0000,100.0000,
selected_50840_20160825_152129_8.0_20.0.txt,NaN,NaN,2115.4123,-0.4016,123485.9369,1581.6818,25.7813,611241.8681,1322.7469,54.7999,50907.3552,1609.4168,14.9022,134590.3732,1465.3565,88.6248,95116.0210,1169.4561,66.5635,3.7e+03,5.8e+01,1.0e+06,4.0e+03,2.3e+03,2.3e+03,,214075.7722,1575.0000,35.0000,869412.4487,1350.0000,87.5000,17604.8031,1620.0000,35.0000,16663.9546,1500.0000,63.7000,30245.9200,1200.0000,100.0000,
selected_57832_20160825_103020_6.0_16.0.txt,NaN,NaN,951.5507,0.0911,0.0005,1605.0000,140.7501,1369.3844,1375.0000,40.8999,11.0333,1621.6773,0.0735,49425.5059,1400.0000,143.9428,14569.1093,1231.8926,71.0057,4.8e+02,2.2e+01,1.3e+05,5.0e+02,1.7e+03,1.7e+03,,7412.9391,1575.0000,35.0000,41723.8362,1350.0000,87.5000,541.0008,1620.0000,35.0000,1847.3245,1500.0000,63.7000,3432.5595,1200.0000,100.0000,
selected_63471_20160825_132338_0.0_23.0.txt,NaN,NaN,51.6479,0.0716,29314.0058,1570.0000,127.6166,28537.6761,1352.5729,83.4259,4273.6906,1618.6528,28.1796,9552.1181,1476.1089,12.3003,58018.0291,1100.0000,5685.5566,5.8e+02,2.4e+01,1.6e+05,6.1e+02,1.7e+03,1.8e+03,,11938.7876,1575.0000,35.0000,34958.3019,1350.0000,87.5000,1304.0515,1620.0000,35.0000,2420.7579,1500.0000,63.7000,1005.4092,1200.0000,100.0000,
selected_68027_20160825_160911_2.0_3.0.txt,NaN,NaN,12.6049,0.0187,4127.5781,1584.1762,35.6876,6449.3898,1327.8669,58.3807,931.7871,1619.9436,0.1609,184.2705,1525.6255,5.4043,0.0000,1100.0008,6641.5543,1.2e+02,1.1e+01,3.2e+04,1.3e+02,1.3e+03,1.4e+03,,3625.5323,1575.0000,35.0000,8475.4533,1350.0000,87.5000,305.2034,1620.0000,35.0000,166.7992,1500.0000,63.7000,89.2779,1200.0000,100.0000,
