#Output File:20260102_2223 
#(((Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_')) + Model(lorentzian, prefix='d2_')) + Model(gaussian, prefix='d3_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian     1583.0      37.0         0.500      NaN         1541.0         1623.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian     1331.0      95.0         1.000      NaN         1300.0         1375.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d2 Lorentzian     1608.0      28.0         0.500      NaN         1560.0         1650.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d3   Gaussian     1519.0      77.0         0.378      NaN         1507.0         1577.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d4 Lorentzian     1163.0     106.0         0.095      NaN         1070.0         1308.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,d2_amplitude,d2_center,d2_sigma,d3_amplitude,d3_center,d3_sigma,d4_amplitude,d4_center,d4_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_d2_amplitude,init_d2_center,init_d2_sigma,init_d3_amplitude,init_d3_center,init_d3_sigma,init_d4_amplitude,init_d4_center,init_d4_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,14065.8648,7.2877,17792.2302,1561.3450,42.2387,645526.5051,1329.5459,95.4028,26366.5424,1610.7235,12.6213,460879.8614,1507.0000,105.2682,1.3866,1132.9008,1793.0239,4.8e+04,2.1e+02,1.3e+07,5.1e+04,2.9e+03,3.0e+03,,102790.4289,1583.0000,37.0000,711710.6028,1331.0000,95.0000,85365.0419,1608.0000,28.0000,148019.6793,1519.0000,77.0000,20584.0083,1163.0000,106.0000,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,59.5948,0.0477,14009.6767,1594.6270,22.8170,103498.8326,1330.5439,71.5850,8011.5353,1618.3160,18.5236,19351.7809,1542.2163,64.6320,6466.3775,1185.9574,53.6453,2.2e+02,1.4e+01,5.8e+04,2.3e+02,1.5e+03,1.5e+03,,18419.1753,1583.0000,37.0000,139840.4212,1331.0000,95.0000,15649.2662,1608.0000,28.0000,13669.3571,1519.0000,77.0000,3085.3219,1163.0000,106.0000,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,121.4555,0.0415,45856.1308,1589.7097,20.9100,294339.1817,1325.0649,61.0649,38413.0386,1611.4781,17.7069,22017.6672,1524.3227,44.9172,0.7539,1070.8847,4430.7713,1.1e+03,3.2e+01,3.0e+05,1.2e+03,1.9e+03,2.0e+03,,56659.3328,1583.0000,37.0000,458665.6362,1331.0000,95.0000,49421.4990,1608.0000,28.0000,28504.4514,1519.0000,77.0000,7679.0828,1163.0000,106.0000,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,82.5624,0.0580,6809.8321,1573.9519,24.5543,40531.3177,1351.5541,69.3310,10604.6088,1611.0136,25.3061,19821.8493,1507.0000,83.4275,32980.7810,1273.6280,81.6424,2.8e+02,1.6e+01,7.5e+04,2.9e+02,1.6e+03,1.6e+03,,13058.8003,1583.0000,37.0000,79489.7089,1331.0000,95.0000,9626.7018,1608.0000,28.0000,11233.3486,1519.0000,77.0000,2379.9809,1163.0000,106.0000,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,625.9754,0.4986,0.0000,1583.0000,37.0000,178485.7780,1331.0000,95.0000,47.7704,1608.0000,28.0000,348.9426,1519.0000,77.0000,8761.0450,1163.0000,106.0000,2.5e+04,1.6e+02,6.7e+06,2.6e+04,2.8e+03,2.8e+03,,-128.6989,1583.0000,37.0000,178485.7780,1331.0000,95.0000,47.7704,1608.0000,28.0000,348.9426,1519.0000,77.0000,8761.0450,1163.0000,106.0000,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,110.2282,0.0758,0.7197,1589.6861,0.0283,31458.0779,1328.7373,69.1113,7754.3480,1602.0409,25.5452,5136.5984,1535.7713,66.7186,0.0000,1070.0026,3595.9643,2.6e+02,1.6e+01,7.1e+04,2.8e+02,1.5e+03,1.6e+03,,6067.8383,1583.0000,37.0000,43255.8133,1331.0000,95.0000,4979.8137,1608.0000,28.0000,3574.9610,1519.0000,77.0000,571.4849,1163.0000,106.0000,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,183.4483,0.1040,36998.6951,1582.8468,22.3700,134661.9313,1324.3719,48.6154,12363.3101,1610.1712,12.7212,28722.0998,1507.0000,74.3440,18518.1359,1179.8134,85.4342,3.5e+02,1.8e+01,9.5e+04,3.7e+02,1.6e+03,1.7e+03,,39606.0658,1583.0000,37.0000,271992.8170,1331.0000,95.0000,25549.8351,1608.0000,28.0000,19964.5057,1519.0000,77.0000,4372.9561,1163.0000,106.0000,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,538.6469,3.8237,24656.3772,1563.8350,34.0267,320003.4655,1329.1707,107.7419,11187.3189,1606.2569,22.4118,88297.6735,1507.0000,96.7087,0.3503,1301.0621,473.8963,1.3e+04,1.1e+02,3.5e+06,1.4e+04,2.6e+03,2.6e+03,,37644.1276,1583.0000,37.0000,261469.9505,1331.0000,95.0000,25407.9503,1608.0000,28.0000,45977.5883,1519.0000,77.0000,10276.1610,1163.0000,106.0000,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,13580.5036,1.4800,152958.7868,1565.8884,28.3869,761111.1239,1310.1705,119.6548,83033.9825,1609.3758,20.6793,51471.8801,1507.0000,85.4161,149486.8769,1070.0424,59.1464,3.5e+04,1.8e+02,9.4e+06,3.7e+04,2.9e+03,2.9e+03,,136757.0194,1583.0000,37.0000,551104.5257,1331.0000,95.0000,91773.1372,1608.0000,28.0000,90222.0830,1519.0000,77.0000,34365.2841,1163.0000,106.0000,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,10757.4669,-0.4471,305233.8983,1567.6587,30.1439,1118846.3343,1362.2193,74.1703,257282.7899,1607.9895,25.9288,682977.7199,1507.0000,82.5345,1176148.7534,1267.3658,103.8066,6.2e+04,2.4e+02,1.7e+07,6.5e+04,3.0e+03,3.1e+03,,429152.7876,1583.0000,37.0000,2112852.6290,1331.0000,95.0000,277472.1642,1608.0000,28.0000,421794.7642,1519.0000,77.0000,82023.7862,1163.0000,106.0000,
