#Output File:20260102_2227 
#(((Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_')) + Model(lorentzian, prefix='d2_')) + Model(gaussian, prefix='d3_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian     1575.0      35.0           0.6      NaN         1570.0         1605.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian     1330.0      87.5           0.9      NaN         1300.0         1375.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d2 Lorentzian     1615.0      35.0           0.6      NaN         1600.0         1620.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d3   Gaussian     1500.0      63.7           0.4      NaN         1400.0         1550.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d4 Lorentzian     1200.0     100.0           0.1      NaN         1100.0         1300.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,d2_amplitude,d2_center,d2_sigma,d3_amplitude,d3_center,d3_sigma,d4_amplitude,d4_center,d4_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_d2_amplitude,init_d2_center,init_d2_sigma,init_d3_amplitude,init_d3_center,init_d3_sigma,init_d4_amplitude,init_d4_center,init_d4_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,14065.8648,7.2877,234200.5220,1579.7036,72.2861,59254.3602,1300.0000,41.2224,21365.3686,1612.8597,12.2417,742506.6693,1400.0000,124.2502,12544.7274,1232.0571,10.6602,3.1e+04,1.8e+02,8.5e+06,3.3e+04,2.8e+03,2.9e+03,,120992.2660,1575.0000,35.0000,589970.6313,1330.0000,87.5000,122312.3144,1615.0000,35.0000,134607.0076,1500.0000,63.7000,23469.2724,1200.0000,100.0000,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,59.5948,0.0477,14009.3507,1594.6278,22.8162,103499.0248,1330.5439,71.5851,8010.3798,1618.3166,18.5223,19353.0639,1542.2205,64.6338,6466.3171,1185.9572,53.6450,2.2e+02,1.4e+01,5.8e+04,2.3e+02,1.5e+03,1.5e+03,,18232.1099,1575.0000,35.0000,115920.3491,1330.0000,87.5000,21730.2632,1615.0000,35.0000,11079.5902,1500.0000,63.7000,4471.5369,1200.0000,100.0000,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,121.4555,0.0415,41840.1063,1591.0963,19.5185,281323.6951,1325.6734,57.7805,32745.2947,1612.1651,16.6326,33996.0940,1537.0516,59.5886,10271.0723,1186.7167,38.0567,7.6e+02,2.5e+01,2.1e+05,8.1e+02,1.8e+03,1.9e+03,,51264.4326,1575.0000,35.0000,380209.6721,1330.0000,87.5000,65719.6249,1615.0000,35.0000,23964.1162,1500.0000,63.7000,10668.8054,1200.0000,100.0000,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,82.5624,0.0580,12101.6176,1570.6857,34.0088,35222.4776,1318.7909,73.3457,11052.9148,1610.8538,26.3086,42283.0581,1400.0000,124.9739,6601.1995,1190.4617,63.8068,2.6e+02,1.6e+01,7.0e+04,2.7e+02,1.5e+03,1.6e+03,,14387.2502,1575.0000,35.0000,65892.7850,1330.0000,87.5000,13583.8192,1615.0000,35.0000,10282.9201,1500.0000,63.7000,3423.9393,1200.0000,100.0000,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,625.9754,0.4986,0.0000,1575.0000,35.0000,147955.3160,1330.0000,87.5000,0.0000,1615.0000,35.0000,1884.8831,1500.0000,63.7000,13370.7098,1200.0000,100.0000,2.6e+04,1.6e+02,7.1e+06,2.8e+04,2.8e+03,2.8e+03,,-43.2115,1575.0000,35.0000,147955.3160,1330.0000,87.5000,-51.2487,1615.0000,35.0000,1884.8831,1500.0000,63.7000,13370.7098,1200.0000,100.0000,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,110.2282,0.0758,981.5006,1574.0639,9.1828,31034.4987,1327.7947,68.2994,7026.1265,1605.4641,22.9313,5063.7642,1522.0762,70.4634,0.0000,1292.4891,329.1202,2.6e+02,1.6e+01,6.9e+04,2.7e+02,1.5e+03,1.6e+03,,6044.9855,1575.0000,35.0000,35856.7926,1330.0000,87.5000,6683.8602,1615.0000,35.0000,3330.6786,1500.0000,63.7000,1510.7460,1200.0000,100.0000,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,183.4483,0.1040,39472.6522,1582.8353,23.2857,132069.6201,1324.1880,47.8212,12107.2333,1610.2933,12.6845,27908.1989,1498.4899,74.8425,19824.6949,1183.8005,87.5492,3.5e+02,1.8e+01,9.4e+04,3.7e+02,1.6e+03,1.7e+03,,40330.1547,1575.0000,35.0000,225467.7299,1330.0000,87.5000,32629.0537,1615.0000,35.0000,16628.6991,1500.0000,63.7000,5632.5631,1200.0000,100.0000,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,538.6469,3.8237,28359.1976,1570.0000,30.0516,39142.7870,1300.0024,56.9888,28260.1700,1613.5457,39.8744,258534.1428,1400.0000,124.4967,37408.5344,1223.1116,47.6404,7.4e+03,8.5e+01,2.0e+06,7.9e+03,2.4e+03,2.5e+03,,45861.1803,1575.0000,35.0000,216744.8273,1330.0000,87.5000,35084.1178,1615.0000,35.0000,39510.1299,1500.0000,63.7000,14254.3476,1200.0000,100.0000,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,13580.5036,1.4800,205226.9385,1570.0000,33.1535,450760.2755,1300.0000,97.1796,67638.7141,1613.2738,19.0990,175002.0361,1400.0000,105.0082,256442.0999,1100.0000,89.9310,3.5e+04,1.9e+02,9.6e+06,3.7e+04,2.9e+03,2.9e+03,,158594.4630,1575.0000,35.0000,456836.6463,1330.0000,87.5000,128515.1423,1615.0000,35.0000,73299.1874,1500.0000,63.7000,39075.4572,1200.0000,100.0000,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,10757.4669,-0.4471,587705.2854,1570.0000,39.9512,691845.4114,1315.8189,85.1331,191169.8716,1611.4809,23.6048,1589260.7045,1400.0000,125.5065,338255.9055,1154.4043,92.0169,4.7e+04,2.1e+02,1.3e+07,5.0e+04,2.9e+03,3.0e+03,,491190.4855,1575.0000,35.0000,1751443.6267,1330.0000,87.5000,383768.0505,1615.0000,35.0000,356644.6636,1500.0000,63.7000,101928.6382,1200.0000,100.0000,
