#Output File:20260102_2221 
#(((Model(lorentzian, prefix='g_') + Model(lorentzian, prefix='d1_')) + Model(lorentzian, prefix='d2_')) + Model(gaussian, prefix='d3_'))
# Fit Method:leastsq# Model Parameters:
#pk_name    pk_type  pk_center  pk_sigma  pk_amplitude  pk_par4  pk_center_min  pk_center_max  pk_sigma_min  pk_sigma_max  pk_amplitude_min  pk_amplitude_max  pk_par4_min  pk_par4_max  pk_center_brute_step  pk_sigma_brute_step  pk_amplitude_brute_step  pk_gamma_brute_step
#      g Lorentzian     1580.0      35.0           0.6      NaN         1570.0         1605.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d1 Lorentzian     1330.0      87.5           0.9      NaN         1300.0         1375.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d2 Lorentzian     1620.0      35.0           0.6      NaN         1600.0         1650.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d3   Gaussian     1500.0      63.7           0.4      NaN         1400.0         1550.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
#     d4 Lorentzian     1200.0     100.0           0.1      NaN         1100.0         1300.0           NaN           NaN               0.0               NaN          NaN          NaN                   NaN                  NaN                      NaN                  NaN
spc_id,spc_x,spc_y,bkr_c,bkr_s,g_amplitude,g_center,g_sigma,d1_amplitude,d1_center,d1_sigma,d2_amplitude,d2_center,d2_sigma,d3_amplitude,d3_center,d3_sigma,d4_amplitude,d4_center,d4_sigma,mse,noise,chisq,chisq_red,aic,bic,note,init_g_amplitude,init_g_center,init_g_sigma,init_d1_amplitude,init_d1_center,init_d1_sigma,init_d2_amplitude,init_d2_center,init_d2_sigma,init_d3_amplitude,init_d3_center,init_d3_sigma,init_d4_amplitude,init_d4_center,init_d4_sigma,placeholder
selected_10420_20160825_205359_0.0_36.0.txt,NaN,NaN,14065.8648,7.2877,234196.4352,1579.7026,72.2860,59253.8384,1300.0000,41.2222,21367.6205,1612.8599,12.2430,742508.5025,1400.0000,124.2504,12544.5095,1232.0571,10.6601,3.1e+04,1.8e+02,8.5e+06,3.3e+04,2.8e+03,2.9e+03,,118241.0093,1580.0000,35.0000,589970.6313,1330.0000,87.5000,117542.0448,1620.0000,35.0000,134607.0076,1500.0000,63.7000,23469.2724,1200.0000,100.0000,
selected_10485_20160825_205359_4.0_13.0.txt,NaN,NaN,59.5948,0.0477,14011.6134,1594.6302,22.8166,103499.4373,1330.5440,71.5854,8008.0320,1618.3194,18.5207,19352.9829,1542.2212,64.6330,6466.1272,1185.9566,53.6442,2.2e+02,1.4e+01,5.8e+04,2.3e+02,1.5e+03,1.5e+03,,20035.6328,1580.0000,35.0000,115920.3491,1330.0000,87.5000,20404.7723,1620.0000,35.0000,11079.5902,1500.0000,63.7000,4471.5369,1200.0000,100.0000,
selected_1070_20160825_212530_48.0_14.0.txt,NaN,NaN,121.4555,0.0415,41855.2143,1591.1002,19.5202,281323.5022,1325.6734,57.7805,32729.6904,1612.1685,16.6301,33996.8458,1537.0536,59.5903,10271.0557,1186.7163,38.0565,7.6e+02,2.5e+01,2.1e+05,8.1e+02,1.8e+03,1.9e+03,,59764.0969,1580.0000,35.0000,380209.6721,1330.0000,87.5000,60674.4305,1620.0000,35.0000,23964.1162,1500.0000,63.7000,10668.8054,1200.0000,100.0000,
selected_10952_20160825_205359_24.0_40.0.txt,NaN,NaN,82.5624,0.0580,12101.8892,1570.6857,34.0093,35218.3408,1318.7928,73.3403,11053.0727,1610.8538,26.3089,42283.4577,1400.0000,124.9718,6604.3548,1190.4742,63.8244,2.6e+02,1.6e+01,7.0e+04,2.7e+02,1.5e+03,1.6e+03,,14822.0671,1580.0000,35.0000,65892.7850,1330.0000,87.5000,12983.1612,1620.0000,35.0000,10282.9201,1500.0000,63.7000,3423.9393,1200.0000,100.0000,
selected_12281_20160825_153727_36.0_5.0.txt,NaN,NaN,625.9754,0.4986,0.0000,1580.0000,35.0000,147955.3160,1330.0000,87.5000,0.0000,1620.0000,35.0000,1884.8831,1500.0000,63.7000,13370.7098,1200.0000,100.0000,2.6e+04,1.6e+02,7.1e+06,2.8e+04,2.8e+03,2.8e+03,,-10.9086,1580.0000,35.0000,147955.3160,1330.0000,87.5000,-151.7400,1620.0000,35.0000,1884.8831,1500.0000,63.7000,13370.7098,1200.0000,100.0000,
selected_151_20160825_212530_6.0_19.0.txt,NaN,NaN,110.2282,0.0758,980.9775,1574.0635,9.1790,31034.9253,1327.7955,68.3001,7026.3382,1605.4630,22.9321,5063.7960,1522.0851,70.4571,0.0000,1299.9719,213.6067,2.6e+02,1.6e+01,6.9e+04,2.7e+02,1.5e+03,1.6e+03,,6451.9196,1580.0000,35.0000,35856.7926,1330.0000,87.5000,6119.3702,1620.0000,35.0000,3330.6786,1500.0000,63.7000,1510.7460,1200.0000,100.0000,
selected_16909_20160825_222850_38.0_13.0.txt,NaN,NaN,183.4483,0.1040,39475.6213,1582.8359,23.2866,132066.1833,1324.1880,47.8201,12105.6133,1610.2939,12.6834,27908.1152,1498.4846,74.8439,19827.0676,1183.8088,87.5541,3.5e+02,1.8e+01,9.4e+04,3.7e+02,1.6e+03,1.7e+03,,44027.4818,1580.0000,35.0000,225467.7299,1330.0000,87.5000,29635.4733,1620.0000,35.0000,16628.6991,1500.0000,63.7000,5632.5631,1200.0000,100.0000,
selected_20031_20160825_030638_24.0_11.0.txt,NaN,NaN,538.6469,3.8237,29707.5386,1570.0000,31.0151,28107.8276,1346.4170,52.3314,20286.8866,1612.7077,31.7350,262247.3974,1400.0000,132.4739,51411.6777,1243.6971,53.1885,7.4e+03,8.4e+01,2.0e+06,7.8e+03,2.4e+03,2.5e+03,,44113.0244,1580.0000,35.0000,216744.8273,1330.0000,87.5000,33150.8592,1620.0000,35.0000,39510.1299,1500.0000,63.7000,14254.3476,1200.0000,100.0000,
selected_21248_20160825_203814_26.0_40.0.txt,NaN,NaN,13580.5036,1.4800,205216.6368,1570.0000,33.1525,450730.6240,1300.0000,97.1770,67641.3753,1613.2736,19.0994,175026.4941,1400.0000,105.0157,256449.8960,1100.0000,89.9321,3.5e+04,1.9e+02,9.6e+06,3.7e+04,2.9e+03,2.9e+03,,156907.6164,1580.0000,35.0000,456836.6463,1330.0000,87.5000,122495.8028,1620.0000,35.0000,73299.1874,1500.0000,63.7000,39075.4572,1200.0000,100.0000,
selected_30881_20160825_120528_44.0_37.0.txt,NaN,NaN,10757.4669,-0.4471,554157.4538,1570.0000,38.0734,1322026.6819,1300.0106,134.3013,177341.9526,1611.1638,21.8435,1448113.2985,1400.0000,126.9503,237083.2808,1219.9943,0.0000,7.7e+04,2.7e+02,2.1e+07,8.1e+04,3.1e+03,3.1e+03,,489610.7896,1580.0000,35.0000,1751443.6267,1330.0000,87.5000,364652.4512,1620.0000,35.0000,356644.6636,1500.0000,63.7000,101928.6382,1200.0000,100.0000,
